branch_code,label_ja,label_en,category,variants,valid_from,valid_to
hohei,歩兵,Infantry,combat,步兵,,
kihei,騎兵,Cavalry,combat,,,
hoheika,砲兵,Artillery (generic),combat,,,
yasen_hohei,野戦砲兵,Field Artillery,combat,野戦砲;野砲兵,,
juhohei,重砲兵,Heavy Artillery,combat,要塞砲兵;要塞砲,,
yasen_juhohei,野戦重砲兵,Field Heavy Artillery,combat,,,
sanpohei,山砲兵,Mountain Artillery,combat,,,
kohei,工兵,Engineers,combat,,,
shichohei,輜重兵,Transport,combat,,,
kokuhei,航空兵,Air Service,combat,,,
kenpei,憲兵,Military Police,combat,,,
keiribu,経理部,Finance / Paymaster,service,經理部,,
gunibu,軍医部,Medical,service,軍醫部,,
juibu,獣医部,Veterinary,service,獸醫部,,
homubu,法務部,Legal,service,,,
gijutsubu,技術部,Technical,service,,,
